commonName,latitude,longitude,season
Atlas Cedar,-37.81208107,144.9813164,All year
Atlas Cedar,-37.8306463,144.9719659,All year
Atlas Cedar,-37.78963362,144.9593306,All year
Atlas Cedar,-37.77971599,144.9608982,All year
Atlas Cedar,-37.83056505,144.9719317,All year
Atlas Cedar,-37.80285821,144.96227,All year
Atlas Cedar,-37.83032609,144.9721427,All year
Atlas Cedar,-37.82549043,144.9774055,All year
Atlas Cedar,-37.77964967,144.9606433,All year
Atlas Cedar,-37.83031948,144.9722143,All year
Austrian Pine,-37.84202998,144.98431,Spring
Austrian Pine,-37.83062337,144.9747018,Spring
Austrian Pine,-37.84166287,144.9843113,Spring
Austrian Pine,-37.82421708,144.9762158,Spring
Austrian Pine,-37.84159961,144.9841903,Spring
Austrian Pine,-37.84209477,144.9842461,Spring
Austrian Pine,-37.83082433,144.9754823,Spring
Austrian Pine,-37.84218936,144.9842864,Spring
Austrian Pine,-37.83250424,144.9784839,Spring
Autumn Glory Plane,-37.79784152,144.9657875,Summer
Autumn Glory Plane,-37.81238789,144.9595122,Summer
Autumn Glory Plane,-37.79777843,144.9505578,Summer
Autumn Glory Plane,-37.79757709,144.9658332,Summer
Autumn Glory Plane,-37.81228431,144.9487947,Summer
Autumn Glory Plane,-37.80790666,144.9441791,Summer
Autumn Glory Plane,-37.8123657,144.9488883,Summer
Autumn Glory Plane,-37.80779414,144.9434638,Summer
Autumn Glory Plane,-37.80472811,144.9656969,Summer
Autumn Glory Plane,-37.81674476,144.9580546,Summer
Autumn Glory Plane,-37.81127643,144.9574156,Summer
Autumn Glory Plane,-37.81224378,144.9594438,Summer
Autumn Glory Plane,-37.79611531,144.9243984,Summer
Autumn Glory Plane,-37.80492622,144.946292,Summer
Bhutan Pine,-37.82440117,144.9764401,All year
Black Cypress Pine,-37.82306228,144.9106764,All year
Black She Oak,-37.8227487,144.9105711,All year
Black She Oak,-37.79596345,144.9152147,All year
Black She Oak,-37.79750878,144.9234059,All year
Black She Oak,-37.79493816,144.9142512,All year
Black She Oak,-37.79617664,144.9268417,All year
Black She Oak,-37.7877642,144.9500513,All year
Black She Oak,-37.79343152,144.9306556,All year
Black She Oak,-37.79592149,144.91514,All year
Black She Oak,-37.78762652,144.9502804,All year
Black She Oak,-37.78688476,144.959804,All year
Black She Oak,-37.82768326,144.9863058,All year
Black She Oak,-37.78746144,144.9504729,All year
Black She Oak,-37.80305328,144.9271675,All year
Black She Oak,-37.78766326,144.9501695,All year
Black She Oak,-37.82608192,144.9682644,All year
Black She Oak,-37.79583674,144.9155094,All year
Black She Oak,-37.7868445,144.9523069,All year
Black She Oak,-37.79470212,144.9237867,All year
Black She Oak,-37.79578385,144.9155,All year
Black She Oak,-37.79501075,144.9240203,All year
Black She Oak,-37.7772822,144.9514992,All year
Black She Oak,-37.78202899,144.9615246,All year
Black She Oak,-37.78598729,144.9431213,All year
Black She Oak,-37.7973181,144.9224203,All year
Black She Oak,-37.79498739,144.9143392,All year
Black She Oak,-37.78607097,144.9430313,All year
Black She Oak,-37.78752911,144.9511089,All year
Black She Oak,-37.77751611,144.9521451,All year
Black She Oak,-37.82587296,144.9685477,All year
Black She Oak,-37.78779803,144.9500586,All year
Black She Oak,-37.7875658,144.9502343,All year
Black She Oak,-37.78788503,144.9498637,All year
Black She Oak,-37.7802383,144.961298,All year
Black She Oak,-37.77731617,144.9513232,All year
Black She Oak,-37.78758008,144.9501491,All year
Black She Oak,-37.82003254,144.9473224,All year
Black She Oak,-37.79867069,144.9221304,All year
Black She Oak,-37.79734397,144.9231924,All year
Black She Oak,-37.79473846,144.923829,All year
Black She Oak,-37.78758015,144.9502101,All year
Black She Oak,-37.79501547,144.9240686,All year
Black She Oak,-37.77754512,144.9518702,All year
Black She Oak,-37.82606847,144.9037252,All year
Black She Oak,-37.8277372,144.9863929,All year
Black She Oak,-37.79494781,144.9239264,All year
Black She Oak,-37.78912922,144.9540732,All year
Black She Oak,-37.78292341,144.9440989,All year
Black She Oak,-37.78780229,144.9500181,All year
Black She Oak,-37.77728619,144.9516461,All year
Black She Oak,-37.78773867,144.9500913,All year
Black She Oak,-37.82763521,144.9862255,All year
Black She Oak,-37.79915592,144.9345654,All year
Black She Oak,-37.79578264,144.9153755,All year
Black She Oak,-37.82704007,144.9547226,All year
Black She Oak,-37.82595945,144.9038679,All year
Black She Oak,-37.78789921,144.9498292,All year
Black She Oak,-37.78762118,144.9501128,All year
Black She Oak,-37.82007856,144.947357,All year
Black She Oak,-37.80304108,144.9275392,All year
Black She Oak,-37.78602026,144.9430901,All year
Black She Oak,-37.80284007,144.9254176,All year
Black She Oak,-37.82604089,144.9682158,All year
Black She Oak,-37.78772195,144.9501918,All year
Black She Oak,-37.79464131,144.9237569,All year
Black She Oak,-37.80302047,144.9272388,All year
Black She Oak,-37.7947689,144.9238734,All year
Black She Oak,-37.8259084,144.9685179,All year
Black She Oak,-37.79350561,144.9306922,All year
Black She Oak,-37.77741013,144.9522591,All year
Black She Oak,-37.82725494,144.9855794,All year
Black She Oak,-37.7947846,144.9238749,All year
Black She Oak,-37.7878711,144.9499593,All year
Black She Oak,-37.78910918,144.9541181,All year
Black She Oak,-37.82712987,144.9853382,All year
Black She Oak,-37.80303905,144.9275163,All year
Black She Oak,-37.78769687,144.9502163,All year
Black She Oak,-37.78747924,144.9504548,All year
Black She Oak,-37.80299521,144.9271553,All year
Black She Oak,-37.82771735,144.9863755,All year
Black She Oak,-37.79355911,144.9307576,All year
Black She Oak,-37.79578133,144.9154643,All year
Black She Oak,-37.78746489,144.9513134,All year
Black She Oak,-37.79580571,144.9154466,All year
Black She Oak,-37.77725115,144.9510302,All year
Black She Oak,-37.82712986,144.9853583,All year
Black She Oak,-37.80285259,144.9254226,All year
Black She Oak,-37.77736212,144.9513071,All year
Black She Oak,-37.78236043,144.9417711,All year
Black She Oak,-37.79731862,144.9225517,All year
Black She Oak,-37.78754944,144.9503352,All year
Black She Oak,-37.82814178,144.9851416,All year
Black She Oak,-37.77740611,144.9512092,All year
Black She Oak,-37.82813156,144.9851184,All year
Black She Oak,-37.79574641,144.9154055,All year
Black She Oak,-37.82722173,144.9855452,All year
Black She Oak,-37.79913707,144.9343899,All year
Black She Oak,-37.77762711,144.9518171,All year
Black She Oak,-37.7851049,144.9451891,All year
Black She Oak,-37.79503156,144.9240455,All year
Black She Oak,-37.82811288,144.9850539,All year
Black She Oak,-37.78759758,144.950129,All year
Black She Oak,-37.78187714,144.960619,All year
Black She Oak,-37.79348513,144.9306705,All year
Black She Oak,-37.78773198,144.9501573,All year
Black She Oak,-37.78854076,144.959559,All year
Black She Oak,-37.78763241,144.9506909,All year
Black She Oak,-37.78909922,144.9540891,All year
Black She Oak,-37.78774889,144.9500672,All year
Black She Oak,-37.8274632,144.9860903,All year
Black She Oak,-37.80301445,144.9271986,All year
Black She Oak,-37.78284868,144.944232,All year
Black She Oak,-37.79474648,144.9238439,All year
Black She Oak,-37.78777793,144.9499392,All year
Black She Oak,-37.80300794,144.9271618,All year
Black She Oak,-37.80701643,144.964511,All year
Black She Oak,-37.78028907,144.9613783,All year
Black She Oak,-37.77738511,144.9515561,All year
Black She Oak,-37.82915959,144.9010817,All year
Black She Oak,-37.78757893,144.9504244,All year
Black She Oak,-37.79472751,144.9238054,All year
Black She Oak,-37.78756944,144.951459,All year
Black She Oak,-37.82814879,144.9850983,All year
Black She Oak,-37.77882409,144.949323,All year
Black She Oak,-37.78758776,144.9501347,All year
Black She Oak,-37.79574572,144.9154737,All year
Black She Oak,-37.77741213,144.9514672,All year
Black She Oak,-37.79575729,144.9153792,All year
Black She Oak,-37.79352476,144.9306793,All year
Black She Oak,-37.78691324,144.9597572,All year
Black She Oak,-37.80304191,144.927556,All year
Black She Oak,-37.78781964,144.9499328,All year
Black She Oak,-37.82595544,144.9684915,All year
Black She Oak,-37.79043009,144.9600277,All year
Black She Oak,-37.78764001,144.950755,All year
Black She Oak,-37.82714787,144.9853947,All year
Black She Oak,-37.82000818,144.9473001,All year
Black She Oak,-37.78334509,144.9486018,All year
Black She Oak,-37.82614063,144.9681313,All year
Black She Oak,-37.79499456,144.9240067,All year
